Champion,HP,MP,AD,Attack Speed,Armor,Magic Resistance,Attack Range
Aatrox,650,0,60,0.651,38,32,175
Ahri,590,418,53,0.668,21,30,550
Akali,570,200,62,0.625,23,37,125
Akshan,630,350,52,0.638,26,30,500
Alistar,685,350,62,0.625,47,32,125
Amumu,685,285,53,0.736,30,32,125
Anivia,550,495,51,0.625,21,30,600
Annie,560,418,50,0.579,19,30,625
Aphelios,580,348,55,0.64,26,30,550
Ashe,640,280,59,0.658,26,30,600
Aurelion Sol,620,530,55,0.625,22,30,550
Azir,550,320,52,0.625,22,30,525
Bard,630,350,52,0.625,34,30,500
Bel'Veth,610,0,60,0.85,32,32,175
Blitzcrank,633,267,62,0.65,40,28,125
Brand,590,469,57,0.625,22,30,550
Braum,610,311,55,0.644,47,32,125
Caitlyn,580,315,60,0.681,27,30,650
Camille,646,339,68,0.644,35,32,125
Cassiopeia,630,350,53,0.647,18,32,550
Cho'Gath,644,270,69,0.625,38,32,125
Corki,588,350,55,0.638,28,30,550
Darius,652,263,64,0.625,39,32,175
Diana,640,375,57,0.625,31,32,150
Dr,613,0,61,0.67,32,29,125
Draven,675,361,62,0.679,29,30,550
Ekko,655,280,58,0.688,32,32,125
Elise,650,324,55,0.625,30,30,550
Evelynn,642,315,61,0.667,37,32,125
Ezreal,600,375,62,0.625,24,30,550
Fiddlesticks,650,500,55,0.625,34,30,480
Fiora,620,300,68,0.69,33,32,150
Fizz,640,317,58,0.658,22,32,175
Galio,632,500,59,0.625,24,32,150
Gangplank,600,280,64,0.658,31,32,125
Garen,690,0,69,0.625,38,32,175
Gnar,540,100,57,0.625,32,30,400
Gragas,670,400,64,0.675,38,32,125
Graves,625,325,68,0.475,33,32,425
Gwen,620,330,63,0.69,39,32,150
Hecarim,625,277,66,0.67,32,32,175
Heimerdinger,558,385,56,0.625,19,30,550
Illaoi,656,300,68,0.625,35,32,125
Irelia,590,350,65,0.656,36,30,200
Ivern,655,450,50,0.644,27,32,475
Janna,570,350,52,0.625,28,30,500
Jarvan IV,640,300,64,0.658,36,32,175
Jax,665,339,68,0.638,36,32,125
Jayce,590,375,57,0.658,22,30,125
Jhin,655,300,59,0.625,24,30,550
Jinx,630,260,59,0.625,26,30,525
K'Sante,610,290,64,0.625,33,30,175
Kai'Sa,670,345,59,0.644,28,30,525
Kalista,600,300,61,0.694,24,30,525
Karma,604,374,51,0.625,28,30,525
Karthus,620,467,46,0.625,21,30,450
Kassadin,646,400,59,0.64,19,30,150
Katarina,672,0,58,0.658,28,32,125
Kayle,670,330,50,0.625,26,22,175
Kayn,655,410,68,0.669,38,32,175
Kennen,611,200,48,0.625,29,30,550
Kha'Zix,643,327,60,0.668,36,32,125
Kindred,580,300,65,0.625,26,30,500
Kled,410,100,65,0.625,35,28,250
Kled & Skaarl,810,100,65,0.625,35,28,125
Kog'Maw,635,325,61,0.665,24,30,500
LeBlanc,598,400,55,0.625,22,30,525
Lee Sin,645,200,66,0.651,34,32,125
Leona,646,302,60,0.625,47,32,125
Lillia,605,410,61,0.625,22,32,325
Lissandra,620,475,55,0.656,22,30,550
Lucian,641,320,60,0.638,28,30,500
Lulu,595,350,47,0.625,26,30,550
Lux,560,480,54,0.669,19,30,550
Malphite,644,280,62,0.736,37,28,125
Malzahar,580,375,55,0.625,18,30,500
Maokai,635,375,64,0.8,39,32,125
Master Yi,669,251,65,0.679,33,32,175
Mega Gnar,640,100,65,0.625,35.5,33.5,175
Milio,560,365,48,0.625,26,30,525
Miss Fortune,640,300,52,0.656,28,30,550
Mordekaiser,645,0,61,0.625,37,32,175
Morgana,630,340,56,0.625,25,30,450
Nami,560,365,51,0.644,29,30,550
Nasus,631,326,67,0.638,34,32,125
Nautilus,646,400,61,0.706,39,32,175
Neeko,610,450,48,0.625,21,30,550
Nidalee,610,295,58,0.638,32,30,525
Nilah,570,350,58,0.697,27,32,225
Nocturne,655,275,62,0.721,38,32,125
Nunu & Willump,610,280,61,0.625,29,32,125
Olaf,645,316,68,0.694,35,32,125
Orianna,600,418,40,0.658,20,26,525
Ornn,660,341,69,0.625,33,32,175
Pantheon,650,317,64,0.658,40,28,175
Poppy,610,280,64,0.625,38,32,125
Pyke,670,415,62,0.667,45,32,150
Qiyana,590,320,66,0.688,28,32,150
Quinn,603,269,59,0.668,28,30,525
Rakan,610,315,62,0.635,30,32,300
Rammus,675,310,55,0.656,40,32,125
Rek'Sai,600,100,58,0.667,36,32,175
Rell,610,350,55,0.625,39,30,175
Renata Glasc,545,350,49,0.625,27,30,550
Renekton,660,100,69,0.665,35,32,125
Rengar,620,4,68,0.667,34,32,125
Riven,630,0,64,0.625,33,32,125
Rumble,625,100,61,0.644,36,28,125
Ryze,645,300,58,0.625,22,32,550
Samira,600,349,57,0.658,26,30,500
Sejuani,630,400,66,0.688,34,32,150
Senna,530,350,50,0.625,28,30,600
Seraphine,570,440,55,0.669,19,30,525
Sett,670,0,60,0.625,33,28,125
Shaco,630,297,63,0.694,30,32,125
Shen,610,400,60,0.751,34,32,125
Shyvana,665,100,66,0.658,38,32,125
Singed,650,330,63,0.613,34,32,125
Sion,655,400,68,0.679,32,32,175
Sivir,600,340,58,0.625,26,30,500
Skarner,650,320,65,0.625,38,32,125
Sona,550,340,49,0.644,26,30,550
Soraka,605,425,50,0.625,32,30,550
Swain,595,468,58,0.625,26,30,525
Sylas,575,310,61,0.645,27,32,175
Syndra,563,480,54,0.625,25,30,550
Tahm Kench,640,325,56,0.658,42,32,175
Taliyah,550,470,58,0.625,18,30,525
Talon,658,400,68,0.625,30,39,125
Taric,645,300,55,0.625,40,28,150
Teemo,598,334,54,0.69,24,30,500
Thresh,600,274,56,0.625,28,30,450
Tristana,670,250,59,0.656,26,30,525
Trundle,686,340,68,0.67,37,32,175
Tryndamere,696,100,72,0.67,33,32,125
Twisted Fate,604,333,52,0.651,21,30,525
Twitch,682,300,59,0.679,27,30,550
Udyr,664,271,62,0.65,31,32,125
Urgot,655,340,63,0.625,36,32,350
Varus,600,360,62,0.658,27,30,575
Vayne,550,232,60,0.658,23,30,550
Veigar,550,490,52,0.625,18,32,550
Vel'Koz,590,469,55,0.625,22,30,525
Vex,590,490,54,0.669,23,28,550
Vi,655,295,63,0.644,30,32,125
Viego,630,0,57,0.658,34,32,200
Viktor,600,405,53,0.658,23,30,525
Vladimir,607,2,55,0.658,27,30,450
Volibear,650,350,60,0.625,31,32,150
Warwick,620,280,65,0.638,33,32,125
Wukong,610,300,66,0.69,31,28,175
Xayah,660,340,60,0.658,25,30,525
Xerath,596,459,55,0.625,22,30,525
Xin Zhao,640,274,63,0.645,35,32,175
Yasuo,590,100,60,0.697,30,32,175
Yone,620,500,60,0.625,30,32,175
Yorick,650,300,62,0.625,39,32,175
Yuumi,500,440,49,0.625,25,25,425
Zac,685,0,60,0.736,33,32,175
Zed,654,200,63,0.651,32,29,125
Zeri,630,250,53,0.658,24,30,500
Ziggs,606,480,54,0.656,22,30,550
Zilean,574,452,52,0.625,24,30,550
Zoe,630,425,58,0.625,21,30,550
Zyra,574,418,53,0.625,29,30,575
